Title|Company|County|Salary|Category|JobDescription|Experience|Education|Major|Language|Skills|Others|Url
['東南亞金融科技發展', '商業分析師', '數數發中心,', 'DDT']|['國泰金控', '國泰金融控股股份有限公司']|台北市|['30000', '90000']|['金融研究員 ', '產品企劃開發人員 ', '其他專案管理師 ']|"(1) 規劃與設計以「數據驅動」為核心之商業解決方案，並整合跨單位業務合作以實務落地。
(2) 分析金控或子公司之數據資料，洞察商業問題，提出符合業務專業的顧問建議。
(3) 建置預測模型／演算法，預測商機、風險或行為屬性，協助達成商業決策或提升效率。
(4) 執行與推動分析型專案的進行／籌劃，有效組織／配合團隊合作完成專案任務。

(1) Planning and designing business solutions with ""data-driven"" as the core, and integrating cross business unit cooperation for practical implementation.
(2) Analyze the data of financial holdings or subsidiaries, to gain insights into business issues, and put forth consulting recommendations that meet the business needs.
(3) Establish predictive models/algorithms to predict business opportunities, risks or behavioral attributes, and assist in achieving business decisions or improving efficiency.
(4) Execute and promote to conduct /plan analytical projects, and effectively organize/cooperate with the team to complete project tasks.

國泰金控為台灣領先金融服務業者，致力於成為亞洲最佳金融機構。服務客戶數最多；資產與業績表現，更穩坐業界龍頭；並積極布局亞洲，為拓展東協市場速度最快且據點最多之銀行。其數位暨數據發展中心(DDT, Digital data & Technology) 是國泰金控數位轉型之重要推動引擎，帶領旗下各子集團在這波數位潮流改革邁進。部門團隊由各領域菁英所組成，成員背景多元，橫跨金融產業、管理顧問、網路科技、時尚旅遊、數位行銷、新創科技等各領域。你將有機會與業界頂尖人才共事，共同實現數位新世代前所未有的可能。我們廣納優秀的專業人才，也打造開放溝通的工作環境。因為我們相信，唯有在開放式的團隊文化，才激得起最熱烈的革命火花。金融科技已在改變世界，加入國泰金控，你將有機會改變臺灣金融發展史。

Cathay Financial Holdings is a leading financial institution incorporated in Taiwan and we are committed to become the best financial institution in Asia in long run.  The Digital Data & Technology (DDT) department are established few years ago, in order to drive the digital transformation of Cathay's Group in a revolutionary way alongside with the global digital trends.  DDT are formed with a group of experts from finance, consulting, internet technology, digital marketing, startup and cutting-edge technology backgrounds. 

You'll have an opportunity to collaborate with the industry's top players by joining us, as we are moving into a new digital age of unprecedented possibilities.  We have established an open communication environment in our working culture, which is suitable for inviting experts from all industries.  We believe that revolutionary innovation only exists in an open team culture and work environment.

FinTechs are changing the world!  Join Cathay and seize the opportunity be part of this revolutionary moment in Taiwan's financial history."|['2年以上']|['大學', '碩士']|['不拘']|['英文', '--', '聽', '/精通', '說', '/精通']|['不拘']|"(1) 具備保險或銀行業專業知識者
(2) 具 SQL 資料庫程式撰寫能力
(3) 具 Python 程式分析能力
(4) 熟悉資料分析、統計模型、機器學習演算法經驗者
(5) 個性主動積極、抗壓性高、溝通技巧佳、團隊配合度高、具邏輯思考及簡報能力
(6) 可接受出差或派駐海外

(1) Experience in banking or insurance industries / professions
(2) Familiar with SQL database programming.
(3) Familiar with Python program development.
(4) Experience in data analysis, statistics, machine learning, model developemnet, etc..
(5) Active personality, high stress resistance, good communication skills, team player, and possesses logical & cirtical thinking skills
(6) Open to overseas assignments or business trips."|https://www.104.com.tw/job/7aflm?jobsource=jolist_c_relevance
['金融研究員']|['統一證券投資信託股份有限公司']|台北市|['待遇面議', '4 萬元']|['金融研究員 ']|"1. 協助主管相關新產品研究調查及指數模擬回測等
2. 製作相關報表
3. 主管交辦事項"|['不拘']|['碩士']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']|"1. 程式撰寫能力
2. 需有投信投顧業務員證照
3. 具有熱忱、積極、認真的工作態度
"|https://www.104.com.tw/job/7jctk?jobsource=jolist_a_relevance
['元大銀行', '數位金融部', '客群經營暨數據分析人員', '元大證券', '元大銀']|['元大金融控股股份有限公司', '元大金控']||['待遇面議', '4 萬元']|['市場調查', '市場分析 ', '行銷企劃助理 ']|"•數位客群經營與樣貌分析
•客群行銷活動規劃與執行
•營運指標數據管理及分析
•資料處理、模型建置
•洞察多元數據、協助商機探索"|['1年以上']|['大學以上']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']|"•具數據分析1年以上相關工作經驗。
•熟悉SQL與Python。
•熟悉office，擅長excel運用與簡報製作與報告。
•邏輯性強，擅長溝通協調，主動學習、具溝通能力與執行力。"|https://www.104.com.tw/job/7cogh?jobsource=jolist_a_relevance
['商業數據分析師', 'BA/Business', 'Analyst', '數據科技', '數數發中心,', 'DDT']|['國泰金控', '國泰金融控股股份有限公司']|台北市|['30000', '90000']|['統計精算人員 ', '產品企劃開發人員 ', '其他專案管理師 ']|"1. 規劃與設計以「數據驅動」為核心之商業解決方案，並整合跨單位業務合作以實務落地
2. 分析金控或子公司之數據資料，洞察客戶行為/屬性，提出符合業務專業的顧問建議
3. 建置預測模型/演算法，預測客戶商機、風險或行為屬性，協助達成商業決策或提升效率
4. 執行與推動分析型專案的進行，有效組織/配合團隊合作完成專案分析任務

(本職務配合公司數據團隊布局策略，若有必要時需至子公司輪調或任務支援)"|['3年以上']|['大學以上']|['不拘']|['不拘']|['不拘']|"1. 具 SQL 資料庫程式撰寫能力
2. 熟悉 Python、R、SAS 程式分析能力
3. 熟悉資料分析、統計模型、機器學習演算法經驗者
4. 具備銀行、壽險、產險或電商等產業專業知識者佳
5. 邏輯能力佳 (重要)、主動積極，抗壓性高，溝通技巧佳，具簡報能力"|https://www.104.com.tw/job/6l49y?jobsource=jolist_a_relevance
['總經研究員']|['富邦金融控股股份有限公司']|台北市|['待遇面議', '4 萬元']|['金融研究員 ']|"職位目的：
深入研究國內外經濟趨勢及市場動向，提供專業諮詢服務。

重要職責/工作內容：
1.	負責行程安排，處理一般行政事務
2.	蒐集整理經濟金融數據，協助準備講稿資料，撰寫研究報告
3.	提供金控各單位及客戶專業諮詢服務"|['3年以上']|['碩士']|['不拘']|['英文', '--', '聽', '/精通', '說', '/精通']|['不拘']| |https://www.104.com.tw/job/7k1c3?jobsource=jolist_a_relevance
['凱基證券/投顧研究部', '研究助理', '金融與總經', '凱基證券', '凱基銀行']|['中華開發金融控股股份有限公司']|台北市|['待遇面議', '4 萬元']|['金融研究員 ', '券商後線人員 ']|"KGI Securities is looking for research associates (TW Financial sector/Macro and FI Strategy )
Job responsibilities:
1. Will be assigned to support TW Financial analyst and Macro strategy analysts.
2. For TW Financials, major responsibilities include database maintenance, project research, report writing, request replying, and financial model building.
3 .For Macro and FI Strategy, major responsibilities include US monetary policy analysis, Treasury and credit products recommendation, and part of commodities analysis
4. Other responsibilities may include PPT preparation and other ad-hoc requests assigned by analysts."|['不拘']|['大學', '碩士']|['商業及管理學科類']|['英文', '--', '聽', '/精通', '說', '/精通']|['不拘']|"1. Knowledge in TW Financial/ Macroeconomic(Interest rate, FX and commodities) will be a huge plus.
2. Bachelor or Master’s degrees in Finance and Business related major. Accounting or economic related major is a plus but not must.
3. Be able to work under pressure and multitasking if needed.
4. Fluency in spoken and written English is required.
5. Good team player with strong communication skill and detail-oriented personality.
6. Computer skills in Excel, Word and PowerPoint are required, TEJ and Bloomberg skill will be a plus.
7. Strong willingness to learn, highly motivated."|https://www.104.com.tw/job/5t133?jobsource=jolist_b_relevance
['元大銀行', '數位金融部', '客群經營暨數據分析人員', '元大證券', '元大銀']|['元大金融控股股份有限公司', '元大金控']||['待遇面議', '4 萬元']|['市場調查', '市場分析 ', '行銷企劃助理 ']|"•數位客群經營與樣貌分析
•客群行銷活動規劃與執行
•營運指標數據管理及分析
•資料處理、模型建置
•洞察多元數據、協助商機探索"|['1年以上']|['大學以上']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']|"•具數據分析1年以上相關工作經驗。
•熟悉SQL與Python。
•熟悉office，擅長excel運用與簡報製作與報告。
•邏輯性強，擅長溝通協調，主動學習、具溝通能力與執行力。"|https://www.104.com.tw/job/7cogh?jobsource=jolist_b_relevance
['金融研究員']|['統一證券投資信託股份有限公司']|台北市|['待遇面議', '4 萬元']|['金融研究員 ']|"1. 協助主管相關新產品研究調查及指數模擬回測等
2. 製作相關報表
3. 主管交辦事項"|['不拘']|['碩士']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']|"1. 程式撰寫能力
2. 需有投信投顧業務員證照
3. 具有熱忱、積極、認真的工作態度
"|https://www.104.com.tw/job/7jctk?jobsource=jolist_b_relevance
['6L新光人壽', '國內股票高級分析師']|['新光金融控股股份有限公司', '新光金控']|台北市|['待遇面議', '4 萬元']|['金融研究員 ', '金融交易員 ']|"即時評估所負責之產業及個股訊息，
定期Call 訪公司，並發掘潛力股；
定期撰寫產業及個股研究報告；
管理模擬投資組合，
協助基金經理人指導或覆核分析師之產業及個股研究。"|['5年以上']|['大學', '碩士']|['不拘']|['英文', '--', '聽', '/中等', '說', '/中等']|['不拘']|"1.大學以上畢業，不限科系。
2.5年以上投資研究經驗，及3年以上金融或傳產產業研究經驗。
3.具備英文聽、說、讀、寫能力尤佳
4.具備高級業務員證照，擁有其他專業證照尤佳(國內證券分析師或國外CFA) 
5.請於履歷中加註熟悉或擅長的產業。(熟半導體產業尤佳)"|https://www.104.com.tw/job/4sp9x?jobsource=jolist_c_relevance
['投資管理總處', '信用研究員', '國外固定收益部']|['富邦金融控股股份有限公司']|台北市|['待遇面議', '4 萬元']|['金融研究員 ', '財務分析', '財務人員 ']|"1.產業公司/金融機構之營運狀況與財務報表分析。
2.投資標的之中長期信用研究與及時事件追蹤管理。"|['2年以上']|['碩士以上']|['不拘']|['不拘']|['不拘']|英文聽、說、讀流暢。|https://www.104.com.tw/job/6wp80?jobsource=jolist_c_relevance
